account_id,ticker,number_of_shares,purchase_date,price_per_share
123456,DEO,200,12/02/2021,18.32
123456,KO,400,13/02/2023,279.28
123456,GOOG,900,13/02/2022,729.29
123456,JPM,2900,13/02/2018,67.39
123456,NKE,100,13/02/2020,216.3
123457,MSFT,1000,12/02/2017,459.52
123457,COST,300,13/02/2018,73.21
123457,NKE,500,13/02/2023,372.28
123458,KO,50,13/02/2023,279.28
123458,GOOG,90,12/02/2021,639.22
123458,JPM,450,13/02/2020,42.35
923456,DEO,100,12/02/2021,18.23
923456,KO,200,13/02/2023,272.18
923456,GOOG,400,13/02/2022,731.86
923456,JPM,900,13/02/2018,67.39
923456,NKE,1200,13/02/2020,216.3
923457,MSFT,1000,12/02/2017,454.35
923457,AAPL,300,13/02/2018,223.22
923457,NKE,50,13/02/2023,372.28
923458,KO,350,13/02/2023,272.18
923458,GOOG,290,12/02/2021,638.58
123458,JPM,290,13/02/2020,42.35
7009001,MSFT,55,14/01/2022,843.28
7009991,JPM,222,28/10/2022,173.1
