ticker,holding_company
AAPL,Apple Inc.
ABBV,AbbVie Inc.
ACM,Accenture PLC Cl A
AMT,American Tower Corp.
AMZN,Amazon.com Inc.
AXP,American Express Co.
BA,Boeing Co.
BAC,Bank of America Corp.
BRK.B,Berkshire Hathaway Inc. Class B
C,Citigroup Inc.
CB,Chubb Ltd.
CL,Colgate-Palmolive Co.
CNI,Canadian National Railway Co.
COST,Costco Wholesale Corp.
DEO,Diageo Plc.
FB,Facebook Inc. Cl A
GOOG,Alphabet Inc. Cl C
GOOGL,Alphabet Inc. Cl A
GS,Goldman Sachs Group Inc.
HD,Home Depot Inc.
JNJ.B,Johnson & Johnson
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co.
KO,Coca-Cola Co.
MA,Mastercard Inc.`
MS,Morgan Stanley
MSFT,Microsoft Corp.
NKE,Nike Inc.
PNC,PNC Financial Services Group Inc.
TJX,TJX Cos Inc.
UNP,Union Pacific Corp.
UPS,United Parcel Service Inc. Cl B
USB,U.S. Bancorp
V,Visa Inc. Cl A
WFC,Wells Farfo & Co.
XOM,Exxon Mobile Corp.
